Product - English Name,Date of Sale,Total Amount Sold,month,day,Quantity of Order Received,Quantity of Order Placed,Quantity of Order Left
Shiitake mushroom,2018/1/1,0.513,1,0,2.5,2.5,1.987
Shiitake mushroom,2018/1/2,0.256,1,1,1,1.4,1.144
Shiitake mushroom,2018/1/3,0,1,2,0,0,0
Shiitake mushroom,2018/1/4,0.256,1,3,1,1,0.744
Shiitake mushroom,2018/1/5,0.513,1,4,0.5,0.8,0.287
Shiitake mushroom,2018/1/6,0.385,1,5,1.5,1.5,1.115
Shiitake mushroom,2018/1/7,0.257,1,6,1,1,0.743
Shiitake mushroom,2018/1/8,0.128,1,0,0,0,0
Shiitake mushroom,2018/1/9,0.213,1,1,1.5,1.5,1.287
Shiitake mushroom,2018/1/10,0.472,1,2,1,1,0.528
Shiitake mushroom,2018/1/11,0.3,1,3,0.5,0.9,0.6
Shiitake mushroom,2018/1/12,0.558,1,4,0,0,0
Shiitake mushroom,2018/1/13,0.641,1,5,2,2.1,1.459
Shiitake mushroom,2018/1/14,0.897,1,6,1.5,1.6,0.703
Shiitake mushroom,2018/1/15,0,1,0,1,1.2,1.2
Shiitake mushroom,2018/1/16,0.171,1,1,0,0,0
Shiitake mushroom,2018/1/17,0.129,1,2,0,0,0
Shiitake mushroom,2018/1/18,0.554,1,3,1,1,0.446
Shiitake mushroom,2018/1/19,0.513,1,4,1,1,0.487
Shiitake mushroom,2018/1/20,1.068,1,5,1.5,1.7,0.632
Shiitake mushroom,2018/1/21,0.598,1,6,2,2.2,1.602
Shiitake mushroom,2018/1/22,0.043,1,0,1,1.2,1.157
Shiitake mushroom,2018/1/23,0.214,1,1,0,0,0
Shiitake mushroom,2018/1/24,0.129,1,2,1,0.9,0.771
Shiitake mushroom,2018/1/25,0.171,1,3,1,1,0.829
Shiitake mushroom,2018/1/26,0.98,1,4,1,1,0.02
Shiitake mushroom,2018/1/27,0.682,1,5,2,2.2,1.518
Shiitake mushroom,2018/1/28,0.768,1,6,1,1,0.232
Shiitake mushroom,2018/1/29,0.085,1,0,0,0,0
Shiitake mushroom,2018/1/30,0.257,1,1,1,1,0.743
Shiitake mushroom,2018/1/31,0.085,1,2,2,1.9,1.815
Shiitake mushroom,2018/2/1,0.172,2,3,0,0,0
Shiitake mushroom,2018/2/2,0.6,2,4,2,2,1.4
Shiitake mushroom,2018/2/3,0.64,2,5,1,1,0.36
Shiitake mushroom,2018/2/4,0.639,2,6,1,1.1,0.461
Shiitake mushroom,2018/2/5,0.043,2,0,1,1,0.957
Shiitake mushroom,2018/2/6,0.214,2,1,1,1.2,0.986
Shiitake mushroom,2018/2/7,0.129,2,2,1,1,0.871
Shiitake mushroom,2018/2/8,0.171,2,3,0,0,0
Shiitake mushroom,2018/2/9,0.471,2,4,1,1,0.529
Shiitake mushroom,2018/2/10,0.984,2,5,1,1.1,0.116
Shiitake mushroom,2018/2/11,0.982,2,6,2,2,1.018
Shiitake mushroom,2018/2/12,0.341,2,0,1.5,1.6,1.259
Shiitake mushroom,2018/2/13,0.47,2,1,1,1.1,0.63
Shiitake mushroom,2018/2/14,0.555,2,2,2,2.1,1.545
Shiitake mushroom,2018/2/15,0.642,2,3,2,2.2,1.558
Shiitake mushroom,2018/2/16,0.512,2,4,2.5,2.5,1.988
Shiitake mushroom,2018/2/17,0.645,2,5,0,0,0
Shiitake mushroom,2018/2/18,0.383,2,6,2,2.1,1.717
Shiitake mushroom,2018/2/19,0.256,2,0,1,1,0.744
Shiitake mushroom,2018/2/20,0.128,2,1,1,1.1,0.972
Shiitake mushroom,2018/2/21,0.213,2,2,1,1,0.787
Shiitake mushroom,2018/2/22,0.255,2,3,0,0,0
Shiitake mushroom,2018/2/23,0.256,2,4,2,2.5,2.244
Shiitake mushroom,2018/2/24,0.555,2,5,1,1,0.445
Shiitake mushroom,2018/2/25,0.214,2,6,1,1,0.786
Shiitake mushroom,2018/2/26,0.128,2,0,1,1,0.872
Shiitake mushroom,2018/2/27,0.043,2,1,0,0,0
Shiitake mushroom,2018/2/28,0.299,2,2,1,1,0.701
Shiitake mushroom,2018/3/1,0.299,3,3,1,1.1,0.801
Shiitake mushroom,2018/3/2,0.471,3,4,1,1,0.529
Shiitake mushroom,2018/3/3,0.554,3,5,1,1,0.446
Shiitake mushroom,2018/3/4,0.684,3,6,1,1,0.316
Shiitake mushroom,2018/3/5,0.256,3,0,1,1.1,0.844
Shiitake mushroom,2018/3/6,0.129,3,1,1,1,0.871
Shiitake mushroom,2018/3/7,0,3,2,0.5,0.5,0.5
Shiitake mushroom,2018/3/8,0.085,3,3,0.5,0.7,0.615
Shiitake mushroom,2018/3/9,0.342,3,4,0.5,0.6,0.258
Shiitake mushroom,2018/3/10,0.939,3,5,1,1.1,0.161
Shiitake mushroom,2018/3/11,0.469,3,6,0.5,0.5,0.031
Shiitake mushroom,2018/3/12,0.129,3,0,1,1.1,0.971
Shiitake mushroom,2018/3/13,0.255,3,1,0,0,0
Shiitake mushroom,2018/3/14,0.299,3,2,1,1,0.701
Shiitake mushroom,2018/3/15,0.17,3,3,0,0,0
Shiitake mushroom,2018/3/16,0.342,3,4,3,3.8,3.458
Shiitake mushroom,2018/3/17,0.384,3,5,0,0,0
Shiitake mushroom,2018/3/18,0.682,3,6,0,0,0
Shiitake mushroom,2018/3/19,0.342,3,0,0,0,0
Shiitake mushroom,2018/3/20,0.128,3,1,0,0,0
Shiitake mushroom,2018/3/21,0.256,3,2,0.800000012,0.7,0.444
Shiitake mushroom,2018/3/22,0.171,3,3,0.5,0.5,0.329
Shiitake mushroom,2018/3/23,0.3,3,4,1.209999993,1.21,0.91
Shiitake mushroom,2018/3/24,0.555,3,5,0,0,0
Shiitake mushroom,2018/3/25,0.3,3,6,1.5,1.5,1.2
Shiitake mushroom,2018/3/26,0.214,3,0,1,0.9,0.686
Shiitake mushroom,2018/3/27,0.512,3,1,0,0,0
Shiitake mushroom,2018/3/28,0.299,3,2,1,1,0.701
Shiitake mushroom,2018/3/29,0.171,3,3,1,1.1,0.929
Shiitake mushroom,2018/3/30,0.896,3,4,1,1,0.104
