Product - English Name,Date of Sale,Total Amount Sold,month,day,Quantity of Order Received,Quantity of Order Placed,Quantity of Order Left
Shiitake mushroom,2018/01/01,0.513,1.0,0.0,0.0,0.0,0.0
Shiitake mushroom,2018/01/02,0.256,1.0,1.0,0.0,0.0,0.0
Shiitake mushroom,2018/01/03,0.0,1.0,2.0,0.0,0.0,0.0
Shiitake mushroom,2018/01/04,0.256,1.0,3.0,0.0,0.0,0.0
Shiitake mushroom,2018/01/05,0.513,1.0,4.0,0.0,0.0,0.0
Shiitake mushroom,2018/01/06,0.385,1.0,5.0,0.0,0.0,0.0
Shiitake mushroom,2018/01/07,0.257,1.0,6.0,0.0,0.0,0.0
Shiitake mushroom,2018/01/08,0.128,1.0,0.0,0.0,0.0,0.0
Shiitake mushroom,2018/01/09,0.21300000000000002,1.0,1.0,0.0,0.0,0.0
Shiitake mushroom,2018/01/10,0.472,1.0,2.0,0.0,0.0,0.0
Shiitake mushroom,2018/01/11,0.3,1.0,3.0,0.0,0.0,0.0
Shiitake mushroom,2018/01/12,0.5579999999999999,1.0,4.0,0.0,0.0,0.0
Shiitake mushroom,2018/01/13,0.641,1.0,5.0,0.0,0.0,0.0
Shiitake mushroom,2018/01/14,0.897,1.0,6.0,0.0,0.0,0.0
Shiitake mushroom,2018/01/15,0.0,1.0,0.0,0.0,0.0,0.0
Shiitake mushroom,2018/01/16,0.17099999999999999,1.0,1.0,0.0,0.0,0.0
Shiitake mushroom,2018/01/17,0.129,1.0,2.0,0.0,0.0,0.0
Shiitake mushroom,2018/01/18,0.554,1.0,3.0,0.0,0.0,0.0
Shiitake mushroom,2018/01/19,0.513,1.0,4.0,0.0,0.0,0.0
Shiitake mushroom,2018/01/20,1.068,1.0,5.0,0.0,0.0,0.0
Shiitake mushroom,2018/01/21,0.5980000000000001,1.0,6.0,0.0,0.0,0.0
Shiitake mushroom,2018/01/22,0.043,1.0,0.0,0.0,0.0,0.0
Shiitake mushroom,2018/01/23,0.21400000000000002,1.0,1.0,0.0,0.0,0.0
Shiitake mushroom,2018/01/24,0.129,1.0,2.0,0.0,0.0,0.0
Shiitake mushroom,2018/01/25,0.17099999999999999,1.0,3.0,0.0,0.0,0.0
Shiitake mushroom,2018/01/26,0.98,1.0,4.0,0.0,0.0,0.0
Shiitake mushroom,2018/01/27,0.6819999999999999,1.0,5.0,0.0,0.0,0.0
Shiitake mushroom,2018/01/28,0.768,1.0,6.0,0.0,0.0,0.0
Shiitake mushroom,2018/01/29,0.085,1.0,0.0,0.0,0.0,0.0
Shiitake mushroom,2018/01/30,0.257,1.0,1.0,0.0,0.0,0.0
Shiitake mushroom,2018/01/31,0.085,1.0,2.0,0.0,0.0,0.0
Shiitake mushroom,2018/02/01,0.172,2.0,3.0,0.0,0.0,0.0
Shiitake mushroom,2018/02/02,0.6,2.0,4.0,0.0,0.0,0.0
Shiitake mushroom,2018/02/03,0.64,2.0,5.0,0.0,0.0,0.0
Shiitake mushroom,2018/02/04,0.639,2.0,6.0,0.0,0.0,0.0
Shiitake mushroom,2018/02/05,0.043,2.0,0.0,0.0,0.0,0.0
Shiitake mushroom,2018/02/06,0.21400000000000002,2.0,1.0,0.0,0.0,0.0
Shiitake mushroom,2018/02/07,0.129,2.0,2.0,0.0,0.0,0.0
Shiitake mushroom,2018/02/08,0.17099999999999999,2.0,3.0,0.0,0.0,0.0
Shiitake mushroom,2018/02/09,0.471,2.0,4.0,0.0,0.0,0.0
Shiitake mushroom,2018/02/10,0.984,2.0,5.0,0.0,0.0,0.0
Shiitake mushroom,2018/02/11,0.982,2.0,6.0,0.0,0.0,0.0
Shiitake mushroom,2018/02/12,0.34099999999999997,2.0,0.0,0.0,0.0,0.0
Shiitake mushroom,2018/02/13,0.47,2.0,1.0,0.0,0.0,0.0
Shiitake mushroom,2018/02/14,0.5549999999999999,2.0,2.0,0.0,0.0,0.0
Shiitake mushroom,2018/02/15,0.6419999999999999,2.0,3.0,0.0,0.0,0.0
Shiitake mushroom,2018/02/16,0.512,2.0,4.0,0.0,0.0,0.0
Shiitake mushroom,2018/02/17,0.6449999999999999,2.0,5.0,0.0,0.0,0.0
Shiitake mushroom,2018/02/18,0.383,2.0,6.0,0.0,0.0,0.0
Shiitake mushroom,2018/02/19,0.256,2.0,0.0,0.0,0.0,0.0
Shiitake mushroom,2018/02/20,0.128,2.0,1.0,0.0,0.0,0.0
Shiitake mushroom,2018/02/21,0.21300000000000002,2.0,2.0,0.0,0.0,0.0
Shiitake mushroom,2018/02/22,0.255,2.0,3.0,0.0,0.0,0.0
Shiitake mushroom,2018/02/23,0.256,2.0,4.0,0.0,0.0,0.0
Shiitake mushroom,2018/02/24,0.5549999999999999,2.0,5.0,0.0,0.0,0.0
Shiitake mushroom,2018/02/25,0.21400000000000002,2.0,6.0,0.0,0.0,0.0
Shiitake mushroom,2018/02/26,0.128,2.0,0.0,0.0,0.0,0.0
Shiitake mushroom,2018/02/27,0.043,2.0,1.0,0.0,0.0,0.0
Shiitake mushroom,2018/02/28,0.29900000000000004,2.0,2.0,0.0,0.0,0.0
Shiitake mushroom,2018/03/01,0.29900000000000004,3.0,3.0,0.0,0.0,0.0
Shiitake mushroom,2018/03/02,0.471,3.0,4.0,0.0,0.0,0.0
Shiitake mushroom,2018/03/03,0.554,3.0,5.0,0.0,0.0,0.0
Shiitake mushroom,2018/03/04,0.6839999999999999,3.0,6.0,0.0,0.0,0.0
Shiitake mushroom,2018/03/05,0.256,3.0,0.0,0.0,0.0,0.0
Shiitake mushroom,2018/03/06,0.129,3.0,1.0,0.0,0.0,0.0
Shiitake mushroom,2018/03/07,0.0,3.0,2.0,0.0,0.0,0.0
Shiitake mushroom,2018/03/08,0.085,3.0,3.0,0.0,0.0,0.0
Shiitake mushroom,2018/03/09,0.34199999999999997,3.0,4.0,0.0,0.0,0.0
Shiitake mushroom,2018/03/10,0.9390000000000001,3.0,5.0,0.0,0.0,0.0
Shiitake mushroom,2018/03/11,0.46900000000000003,3.0,6.0,0.0,0.0,0.0
Shiitake mushroom,2018/03/12,0.129,3.0,0.0,0.0,0.0,0.0
Shiitake mushroom,2018/03/13,0.255,3.0,1.0,0.0,0.0,0.0
Shiitake mushroom,2018/03/14,0.29900000000000004,3.0,2.0,0.0,0.0,0.0
Shiitake mushroom,2018/03/15,0.17,3.0,3.0,0.0,0.0,0.0
Shiitake mushroom,2018/03/16,0.34199999999999997,3.0,4.0,0.0,0.0,0.0
Shiitake mushroom,2018/03/17,0.384,3.0,5.0,0.0,0.0,0.0
Shiitake mushroom,2018/03/18,0.6819999999999999,3.0,6.0,0.0,0.0,0.0
Shiitake mushroom,2018/03/19,0.34199999999999997,3.0,0.0,0.0,0.0,0.0
Shiitake mushroom,2018/03/20,0.128,3.0,1.0,0.0,0.0,0.0
Shiitake mushroom,2018/03/21,0.256,3.0,2.0,0.0,0.0,0.0
Shiitake mushroom,2018/03/22,0.17099999999999999,3.0,3.0,0.0,0.0,0.0
Shiitake mushroom,2018/03/23,0.3,3.0,4.0,0.0,0.0,0.0
Shiitake mushroom,2018/03/24,0.5549999999999999,3.0,5.0,0.0,0.0,0.0
Shiitake mushroom,2018/03/25,0.3,3.0,6.0,0.0,0.0,0.0
Shiitake mushroom,2018/03/26,0.21400000000000002,3.0,0.0,0.0,0.0,0.0
Shiitake mushroom,2018/03/27,0.512,3.0,1.0,0.0,0.0,0.0
Shiitake mushroom,2018/03/28,0.29900000000000004,3.0,2.0,0.0,0.0,0.0
Shiitake mushroom,2018/03/29,0.17099999999999999,3.0,3.0,0.0,0.0,0.0
Shiitake mushroom,2018/03/30,0.8960000000000001,3.0,4.0,0.0,0.0,0.0
Shiitake mushroom,2018/03/31,0.385,3.0,5.0,0.0,0.0,0.0
Shiitake mushroom,2018/04/01,1.0230000000000001,4.0,6.0,0.0,0.0,0.0
Shiitake mushroom,2018/04/02,0.17,4.0,0.0,0.0,0.0,0.0
Shiitake mushroom,2018/04/03,0.128,4.0,1.0,0.0,0.0,0.0
Shiitake mushroom,2018/04/04,0.17,4.0,2.0,0.0,0.0,0.0
Shiitake mushroom,2018/04/05,0.129,4.0,3.0,0.0,0.0,0.0
Shiitake mushroom,2018/04/06,0.343,4.0,4.0,0.0,0.0,0.0
Shiitake mushroom,2018/04/07,0.769,4.0,5.0,0.0,0.0,0.0
